"date","pred","ci_min","ci_max","total_add","add_min","add_max"
2022-04-24,503518.211591103,501192.992984098,505866.132972869,16829.2442141026,12285.9290250089,21395.2621779573
2022-04-25,518811.59235632,516235.702030383,521476.596041719,15293.3807652165,12824.6124641966,17828.5596509383
2022-04-26,533837.934991843,530765.544543578,537121.727003151,15026.3426355229,12311.7459311066,17863.2275435201
2022-04-27,547711.389099721,543707.972172,552121.949795261,13873.4541078786,10724.3310463331,17218.319374199
2022-04-28,560450.319721334,554768.72545056,566930.453948911,12738.9306216129,8842.65669647173,17026.6007357382
2022-04-29,571403.248312602,562918.170785413,581306.944600675,10952.9285912676,5931.34875276486,16594.5872338531
2022-04-30,579884.258877937,566886.732515457,595208.231785178,8481.01056533505,1750.46514795522,16119.3837665907
2022-05-01,585635.553261416,567015.306217309,608588.49527175,5751.29438347905,0,15598.3600686611
2022-05-02,590221.486564625,567015.306217309,621379.872111986,4585.93330320925,0,15009.4734223245
2022-05-03,594430.551960168,567015.306217309,633515.480473219,4209.06539554265,0,14353.7049433208
2022-05-04,598342.23292753,567015.306217309,644908.460722971,3911.68096736236,0,13611.0768318409
2022-05-05,601945.650408519,567015.306217309,655458.82159886,3603.41748098889,0,12768.4574579779
2022-05-06,605204.91068613,567015.306217309,665042.917095044,3259.26027761062,0,11802.1920782718
2022-05-07,608074.541341052,567015.306217309,673508.868411393,2869.63065492257,0,10684.0478984382
