"date","pred","ci_min","ci_max","total_add","add_min","add_max"
2022-05-17,622447.480330528,621399.258033767,623853.728537327,393.703944062931,0,2454.47050356037
2022-05-18,622479.722775657,621399.258033767,625082.14197446,32.2424451292027,0,1882.9317898302
2022-05-19,622479.722775657,621399.258033767,626417.158314856,0,0,1989.53469309373
2022-05-20,622479.722775657,621399.258033767,627866.555198913,0,0,2103.91523675387
2022-05-21,622479.722775657,621399.258033767,629439.411576754,0,0,2227.37473053845
2022-05-22,622479.722775657,621399.258033767,631146.740016565,0,0,2361.84679250907
2022-05-23,622479.722775657,621399.258033767,632999.890463256,0,0,2507.66879938786
2022-05-24,622479.722775657,621399.258033767,635011.319158781,0,0,2665.94704822263
2022-05-25,622479.722775657,621399.258033767,637194.560953526,0,0,2837.76014744245
2022-05-26,622479.722775657,621399.258033767,639564.285044974,0,0,3024.24244414583
2022-05-27,622479.722775657,621399.258033767,642136.420942888,0,0,3226.65425061166
2022-05-28,622479.722775657,621399.258033767,644928.258126292,0,0,3446.35553610102
2022-05-29,622479.722775657,621399.258033767,647958.56231629,0,0,3684.82254269578
2022-05-30,622479.722775657,621399.258033767,651247.702436446,0,0,3943.658472853
